,APA,BKR,BP,COP,CTRA,CVX,DK,DVN,ENB,EOG,ET,FANG,FTI,HAL,HES,KMI,MPC,NOV,OKE,PBF,PSX,SHEL,SLB,TTE,VLO,WMB,XOM
2024-08-02,-865.3324204693249,0.0,74.82412848699335,-169.1617974269179,0.0,0.0,161.54871345432218,-500.741026657494,1500.0,-306.82183696602976,1500.0,-2.09427822575431e-06,-14.303338633205795,-402.87049958131723,-477.6397791343064,536.1200786322369,501.1441401256814,-522.8948771683506,285.1401081391667,3.6736674243541585e-06,742.3589174393693,215.54488870057108,-97.38034543040892,222.10361745513174,374.6339125073844,386.5814906886199,-142.85407574151043
2024-08-09,-758.3573247104638,0.0,1.838648900124149e-12,-555.3141242104334,0.0,0.0,194.90871948934486,-874.9999999999977,1277.837534584561,-436.32855107910285,1046.7806414656616,0.0,0.0,-875.0000000000007,0.0,985.8533528308375,217.70460471909894,-1.549620759516691e-12,640.9277503679508,189.4264314919593,397.6502773933959,1.6328387955654595e-12,0.0,597.1850345313046,198.83295121916478,752.8927019067164,0.0
2024-08-16,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2024-08-23,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2024-08-30,-792.7837884241956,0.0,99.22516797066531,-108.52709533454707,0.0,0.0,230.6322124940355,-492.6536334570169,1499.999999948273,-182.30770313992025,482.88432034084764,-97.64362216571601,-188.45051407490357,-404.38398817578127,-497.3275149655205,1435.0922506719721,462.5904237200151,-618.7817417546291,262.1434315600052,9.201458721875703e-07,658.8268033380143,253.7972062089955,-117.14039850782268,318.56389422171145,400.4945295230834,395.74975908218033,0.0
2024-09-06,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2024-09-13,-874.9999999999236,1.1551635010645143e-12,4.62768552538298e-12,-875.0000000000027,0.0,0.0,233.55781678489942,-874.9999999999966,1499.9999999999964,-4.308401896733612e-11,1499.9999999999961,0.0,0.0,-875.0000000000177,-1.5088833456410486e-12,991.0604519536995,491.2289287742631,-6.0863036587639e-12,5.885098315827612e-12,0.0,831.4251611103737,4.1253666923466474e-12,-3.5580761942192773e-12,3.747023301203172e-12,342.6924574540325,610.0351839227446,-3.6297895677048476e-12
2024-09-20,-730.5066363751727,264.5567711744025,508.49438808515157,-278.2867282112622,279.95718514337204,-182.91293918923967,0.0,-506.53097504478075,1059.4360161885807,-314.15128788898073,791.4352407060379,-310.8870575463823,70.25201905093675,-462.5477087435535,-512.0550545177775,809.8906356671549,0.0,0.0,651.5341516398531,0.0,0.0,593.2803910009656,105.73994317673754,649.3998520423683,0.0,716.0234061244323,-202.12161248285747
2024-09-27,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073,240.74074074074073
2024-10-04,-571.5997683137799,0.0,0.0,-516.5693287131251,0.0,0.0,311.943742402503,-875.0000000000003,1418.2960542038975,-339.7417506088798,1056.9831434513924,-392.3010839894095,0.0,-804.7880683748074,0.0,1044.0089492480658,365.75815069801746,0.0,371.73655586165074,219.46006037773648,491.9611304645271,0.0,0.0,0.0,361.4980456150019,858.3541676772113,0.0
